,MS,TOX,DMG / FR ,,** Infinite Ammo Battery,,,
,,,,,,,,
[Furax],AS,RNG,CD > ELEC(infl),IMP > SLIDE / FIN* / EFF**,* -FIN harmful for [Melee Crescendo],,,
,,,,,,,,
,CC,CD,DMG / AS / IC,,** -EFF not ideal for Heavy Attack spam,,,
,,,,,,,,
[Furis],MS,CD,CC > FR / TOX / DMG / SC / PT,PUNC > Z > REC > PFS*,* Vintage negative | harmful for incarnon | harmless for incarnoff,,,
,,,,,,,,
,MS,DMG > FR,SC / FR / HEAT > PT,,,,,
,,,,,,,,
[Fusilai],MS,CC > CD,CC > FR / TOX / DMG / SC,PUNC > Z > REC,,,,
,,,,,,,,
[Galariak Prime],AS,RNG,CD > ELEC(infl),PUNC > IMP > SLIDE / FIN / EFF,,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Galatine],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Galvacord],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF,,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Gammacor],MS,CD,CC > FR / TOX / DMG / SC,Z > REC > AMMO(inc),,,,
,,,,,,,,
[Gazal Machete],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG,,,,,
,,,,,,,,
[Gaze],MS,CD,CC > FR / TOX / DMG / SC,PUNC > IMP(0%) / Z / SL(0%) > REC > AMMO*,* Infinite Ammo Battery with [Pax Charge],,,
,,,,,,,,
[Ghoulsaw],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Glaive],CC,DMG,NONE > CD > IC,SLIDE > FIN / EFF*,* -EFF not ideal for Heavy Attack spam,,,
,,,,,,,,
[Glaxion],TOX,COLD*,ANY,NONE,* 3 positives no negative unranked viral roll is ideal for use,,,
,,,,,,,,
,MS,CD,CC > TOX / FR / DMG / SC,Z > REC > AMMO,,,,
,,,,,,,,
[Gorgon],MS,CD,CC > TOX / FR / DMG / SC,IMP > Z > REC / AMMO(inc) / MAG(inc),,,,
,,,,,,,,
[Gotva Prime],MS,CD,CC > TOX / FR / DMG / SC,Z / PUNC* > REC,* -PUNC removes most of the base damage but sells well,,,
,,,,,,,,
[Grakata],MS,CD,CC > TOX / FR / DMG / SC,IMP > Z > PUNC > REC,,,,
,,,,,,,,
[Gram],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CD,CC / AS,DMG / AS,,,,,
,,,,,,,,
[Grattler],MS,CD,CC > TOX / FR / DMG / SC,PUNC > Z > REC,,,,
,,,,,,,,
[Grimoire],MS,CD,CC / FR / TOX / DMG / SC,MAG* > REC,* Vintage and only harmless negative. Infinite Ammo,,,
,,,,,Can't roll -AMMO or -Z,,,
[Grinlok],MS,CD / CC,CC > TOX / FR / DMG / SC,IMP > Z > REC,,,,
,,,,,,,,
[Guandao],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Gunsen],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Haalvu],MS,CD,CC / TOX / FR / DMG,Z / AMMO / PFS > REC,,,,
,,,,,,,,
[Halikar],CC,DMG,ELEC(infl) / CD / IC ,PUNC > SLIDE > FIN / EFF*,* -EFF not ideal for Heavy Attack spam,,,
,,,,,,,,
[Harmony],CC,SD,DMG / IC / CD,PUNC > SLIDE / FIN / EFF*,* -EFF not ideal for Heavy Attack spam,,,
,,,,,,,,
,AS,RNG,CD > ELEC(infl),,,,,
,,,,,,,,
[Harpak],MS,CD,CC > TOX / FR / DMG / SC,PUNC > Z > REC,,,,
,,,,,,,,
[Hate],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF* / SL(infl),* -EFF not ideal for Heavy Attack spam,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Heat Dagger],AS,RNG,CD > ELEC(infl),PUNC > IMP > SLIDE / EFF / SL(infl) / FIN,,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Heat Sword],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Hek],MS,CD,FR / CC > TOX / DMG / SC,PUNC > REC > AMMO,,,,
,,,,,,,,
[Heliocor],AS,RNG,CD > ELEC(infl),IMP > SLIDE > FIN / EFF*,* -EFF not ideal for Heavy Attack spam,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Helstrum],MS,SC,PFS / FR,IMP > DTI > DTC / CC / CD / DTG,Primer,,,
,,,,,,,,
,MS,CD,CC,IMP,,,,
,,,,,,,,
[Hema],MS,CD,CC > TOX / FR / DMG / SC,Z > REC / AMMO,,,,
,,,,,,,,
[Hespar],CC,CD,DMG / AS,IMP > SLIDE / FIN / EFF*,* -EFF not ideal for Heavy Attack spam,,,
,,,,,,,,
,AS,RNG,CD > ELEC(infl),,,,,
,,,,,,,,
[Higasa],MS,CD,CC > TOX / FR / DMG / SC,PUNC > Z > REC,,,,
,,,,,,,,
[Hikou],MS,DMG / FR,FR / SC / TOX,PUNC > Z > REC,* CC roll bad for use but sells,,,
,,,,,,,,
,MS,CD,CC* / FR / TOX / DMG / SC,,,,,
,,,,,,,,
[Hind],MS,CD,CC > TOX / FR / DMG / SC,Z > REC,,,,
,,,,,,,,
[Hirudo],AS,RNG,CD > ELEC(infl),PUNC > SLIDE / FIN / EFF,,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Hystrix],MS,CD,CC > FR / TOX / DMG / SC,PUNC > Z > REC,,,,
,,,,,,,,
[Ignis],TOX,COLD,CD / MS / FR,Z > REC,Tox Cold rolls save slots and are arguably more useful than ,,,
,,,,,,,,
,MS,CD,CC > TOX / FR / DMG / SC,,generic good rolls with its very low riven disposition,,,
,,,,,,,,
[Imperator],MS,CD,CC > TOX / FR / DMG / SC,IMP > Z > PUNC > Z > REC,,,,
,,,,,,,,
[Innodem],AS,RNG,CD > ELEC(infl),PUNC > SLIDE / EFF / SL(infl) / FIN,,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Jat Kittag],CC,CD,DMG / TOX* / AS,IMP > SLIDE / FIN / EFF**,* TOX roll for Saryn with [Vulcan Blitz],,,
,,,,,,,,
,AS,RNG,CD > ELEC(infl),,** -EFF not ideal for Heavy Attack spam,,,
,,,,,,,,
[Jat Kusar],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF,,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Javlok],MS,CD,CC > TOX / FR / DMG / SC,Z > REC,,,,
,,,,,,,,
,DMG,CD,CC / TOX,Z > REC > MS,Multishot doesn't affect throw in any way,,,
,,,,,,,,
[Jaw Sword],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG,,,,,
,,,,,,,,
[Kama],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Karak],MS,CD,CC > TOX / FR / DMG / SC,IMP > PUNC / Z > REC,,,,
,,,,,,,,
[Karyst],AS,RNG,CD > ELEC(infl),SLIDE / EFF / FIN,,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Keratinos],AS,RNG,CD > ELEC(infl),IMP* > PUNC > SLIDE / FIN / EFF / SL(infl),* Minimum impact removal breakpoint -95.2%,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Kesheg],AS,RNG,CD > ELEC(infl),IMP > SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Kestrel],CC,DMG,CD / ELEC(infl) / NONE / IC,IMP > SLIDE / FIN / EFF*,* -EFF not ideal for Heavy Attack spam,,,
,,,,,,,,
[Knell],MS,CD,CC > FR / TOX / DMG / SC,Z / MAG / IMP > PUNC > REC,* single shot magazine -MAG harmless,,,
,,,,,,,,
[Kogake],AS,RNG,CD > ELEC(infl),IMP >  SLIDE / FIN / EFF,,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Kohm],MS,CD,FR / CC > DMG / TOX / SC,SL > REC,,,,
,,,,,,,,
[Kohmak],MS,CD,CC* > TOX / FR / DMG / SC,Z > SL > REC,* CC roll bad for use but sells,,,
,,,,,,,,
[Komorex],MS,CC / CD,CD > TOX / FR / DMG / SC,Z / PUNC > REC > SL,,,,
,,,,,,,,
[Kompressa],MS,CD,CC* / TOX / FR / DMG / SC / RLS,Z > REC,* CC roll bad for use but sells,,,
,,,,,,,,
,MS,FR,SC / DMG / PFS / MAG / RLS,,,,,
,,,,,,,,
[Korrudo],AS,RNG,CD > ELEC(infl),IMP > SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Korumm],AS,RNG,CD > ELEC(infl),PUNC > SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Kraken],MS,CD,CC > TOX / FR / DMG / SC,IMP > Z / PFS* > REC,* Vintage negative,,,
,,,,,,,,
[Kreska],AS,RNG,CD > ELEC(infl),IMP > PUNC > SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG,,,,,
,,,,,,,,
[Krohkur],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG,,,,,
,,,,,,,,
[Kronen],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Kronsh],AS,RNG,CD > ELEC(infl),IMP > PUNC(0%) > SLIDE / FIN / EFF*,* -EFF not ideal for Heavy Attack spam,,,
,,,,,,,,
,CC,CD,DMG / AS / ELEC(infl),,[Exodia Contagion] rolls  |  -IMP/PUNC/SL equally bad for it,,,
,,,,,regardless of it having no base puncture,,,
[Kulstar],MS,CD,CC > FR / TOX / DMG / SC,IMP > Z > REC,,,,
,,,,,,,,
[Kunai],MS,CD,CC > FR / TOX / DMG / SC,PUNC > Z > REC > AMMO(inc),,,,
,,,,,,,,
,CD,DMG,CC / TOX / FR,,[Primary Acuity] rolls,,,
,,,,,,,,
[Kuva Ayanga],MS,CD,CC > FR / TOX / DMG / SC,IMP > Z > REC,,,,
,,,,,,,,
[Kuva Bramma],MS,CD,CC / FR > TOX / DMG / SC,IMP > Z / MAG > REC,,,,
,,,,,,,,
[Kuva Chakkhurr],MS,CD,CC / FR > TOX / DMG / SC,IMP > Z > REC,Usable for [Internal Bleeding]  |  Has forced impact proc,,,
,,,,,,,,
,CC,CD,DMG / FR / TOX,,[Primary Acuity] rolls,,,
,,,,,,,,
[Kuva Shildeg],AS,RNG,CD > ELEC(infl),PUNC > IMP > SLIDE / FIN / EFF*,* -EFF not ideal for Heavy Attack spam,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Kuva Twin Stubbas],MS,CD,CC > TOX / FR / DMG / SC,IMP > Z / PFS* > REC,* Vintage negative,,,
,,,,,,,,
[Lacera],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF,,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Lacerten],CC,CD,DMG,IMP > SLIDE / FIN / EFF,,,,
,,,,,,,,
,AS,RNG,CD,,,,,
,,,,,,,,
[Laetum],MS,TOX,DMG / FR,CC(Inc)* > IMP > Z,* -CC for Devastating Attrition incarnon perk,,,
,,,,,,,,
,MS,CD,CC > FR / TOX / DMG / SC,IMP > Z > REC,Good positives are more important than just -CC for slotting,,,
,,,,,,,,
[Lanka],MS,CD / CC,CC > TOX / FR / DMG / SC,Z > REC / PFS*,* Mag Bubble,,,
,,,,,,,,
,MS,CC,ELEC*,,,,,
,,,,,,,,
[Larkspur],MS,FR,PT / SC / HEAT / ELEC,IMP > Z / PUNC(0%) / SL(0%) > REC,* CC roll bad for use but sells,,,
,,,,,,,,
,MS,CD,CC* > FR / TOX / DMG / SC / ELEC / PT,,,,,
,,,,,,,,
[Laser Rifle],MS,CD,CC,PUNC,,,,
,,,,,,,,
[Lato],MS,CD,CC > PT / FR / TOX / DMG / SC,Z / PFS* > REC > AMMO(Inc) / MAG(Inc),* Vintage negative,,,
,,,,,,,,
[Latron],MS / CC / DMG / CD**,,,Z > REC / AMMO(Inc) / MAG(Inc) / PUNC*,** any 3p1n combination is ideal for use,,,
,,,,,,,,
,MS,CD,FR / TOX / SC,,* -PUNC harmful for incarnon perks,,,
,,,,,,,,
[Lecta],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF,,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Lenz],MS,CD,CC / FR > TOX / DMG / SC,IMP > Z / MAG > REC,,,,
,,,,,,,,
[Lesion],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Lex],MS,CD,CC / FR > TOX / DMG / SC,PUNC > Z / PFS* > REC,* Vintage negative | harmful for incarnon | harmless for incarnoff,,,
,,,,,,,,
[Machete],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Magistar],CC,DMG,NONE / CD > IC,IMP / SLIDE > FIN / EFF*,* -EFF not ideal for Heavy Attack spam,,,
,,,,,,,,
,AS,RNG,CD > ELEC(infl),,,,,
,,,,,,,,
[Magnus],MS,CD,CC > FR / TOX / DMG / SC,IMP > Z / PFS* / PUNC > REC,* Vintage negative,,,
,,,,,,,,
[Mandonel],MS,CD,CC > TOX / FR / DMG / SC,Z > REC,,,,
,,,,,,,,
[Marelok],MS,CD,CC > FR / TOX / DMG / SC,IMP > Z / PFS* > REC,* Vintage negative,,,
,,,,,,,,
[Masseter],AS,RNG,CD > ELEC(infl),IMP > SLIDE / FIN / EFF > SL(infl),,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Mausolon],MS,CD,CC > TOX / FR / DMG / SC,PUNC > IMP > Z / SL(0%) > REC,,,,
,,,,,,,,
[Mewan],AS,RNG,CD > ELEC(infl),PUNC > IMP > SLIDE / FIN / EFF* / SL(infl),* -EFF not ideal for Heavy Attack spam,,,
,,,,,,,,
,CC,CD,DMG / AS / ELEC(infl),,[Exodia Contagion] rolls  |  -IMP/PUNC/SL equally bad for it,,,
,,,,,,,,
[Mios],AS,RNG,CD > ELEC(infl),IMP > PUNC > SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG,,,,,
,,,,,,,,
[Mire],CC,DMG / CD,DMG / TOX,IMP > PUNC > SLIDE > FIN / EFF* / SL(infl),* -EFF not ideal for Heavy Attack spam,,,
,,,,,,,,
,AS,RNG,CD > ELEC(infl),,,,,
,,,,,,,,
[Miter],MS,CD,CC > TOX / DMG / HEAT / SC / FR,Z > REC > AMMO(inc) / MAG(inc),,,,
,,,,,,,,
,CC,CD,DMG / HEAT(inc),,,,,
,,,,,,,,
[Morgha],MS,CD,CC > TOX / FR / DMG / SC,Z > REC,,,,
,,,,,,,,
[Multron],MS,FR,SC / PT,PUNC > DTI > DTC,,,,
,,,,,,,,
,MS,CD,CC,PUNC,,,,
,,,,,,,,
[Mutalist Cernos],CC,CD,DMG / ELEC,Z / MAG / IMP* > REC,* -IMP removes most of the base damage but sells well,,,
,,,,,,,,
,MS,CD,CC > TOX / FR / DMG / SC,,,,,
,,,,,,,,
[Mutalist Quanta],MS,DMG,SC / FR,PUNC > Z > REC,* CC dead for use but sells,,,
,,,,,,,,
,MS,CD,CC* > TOX / FR / DMG / SC,,,,,
,,,,,,,,
[Nagantaka],MS,CD,CC > SC / TOX / FR / DMG,Z >> REC,,,,
,,,,,,,,
[Nami Skyla],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Nami Solo],AS,RNG / CD,ELEC(infl) > CD,SL(infl) > SLIDE / FIN / EFF,,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Nataruk],MS,CD,CC > TOX / FR / DMG,PUNC > Z / MAG / AMMO* > REC,* Infinite Ammo,,,
,,,,,,,,
[Nepheri],AS,RNG,CD > ELEC(infl),PUNC > IMP > SLIDE / FIN / EFF,,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Nikana],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Ninkondi],AS,RNG,CD > ELEC(infl),FIN / EFF / SLIDE*,* [Atlantis Vulcan] Slide attack has 3x multi-hit,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Nukor],MS,CD,CC* / TOX > FR / DMG / SC / PT,Z > REC,* CC roll bad for use but sells well,,,
,,,,,,,,
,MS,FR / TOX / DMG,SC / DMG / TOX / PT,,,,,
,,,,,,,,
[Obex],AS,RNG,CD > ELEC(infl),IMP > SLIDE / EFF / FIN*,* -FIN not ideal for some incarnon evos,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Ocucor],MS,CD,TOX > CC* > FR / DMG > SC,IMP(0%) / Z / PFS / SL(0%) > REC / PUNC** > RLS,* CC roll bad for use but sells well,,,
,,,,,,,,
,MS,TOX,DMG / FR,,** -PUNC slightly harmful for DPS but sells well,,,
,,,,,,,,
[Ogris],MS,DMG,HEAT / SC / TOX,Z > REC,,,,
,,,,,,,,
,MS,MAG / PFS,PFS / REC / TOX,Z > CC / SD > CD,Arbitration rolls,,,
,,,,,,,,
,MS,DMG*,NONE,Z > RLS / SC / CC / DTG / DTC / DTI,* MS DMG is for Profit Taker,,,
,,,,,,,,
,,,,,DMG minimum 150% breakpoint on Kuva variant,,,
,,,,,,,,
,MS,CD,DMG > CC** / TOX / CC / FR,Z > REC,** CC dead for use but sells,,,
,,,,,,,,
[Ohma],AS,RNG,CD > ELEC(infl),SLIDE / EFF / FIN,,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Okina],AS,RNG,CD > ELEC(infl),PUNC > SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Onos],MS,CD,CC > FR / TOX / DMG / SC,PUNC > Z > REC,,,,
,,,,,,,,
[Ooltha],AS,RNG,CD > ELEC(infl),PUNC > IMP > SLIDE / FIN / EFF* / SL(infl),* -EFF not ideal for Heavy Attack spam,,,
,,,,,,,,
,CC,CD,DMG / AS / ELEC(infl),,[Exodia Contagion] rolls  |  -IMP/PUNC/SL equally bad for it,,,
,,,,,,,,
[Opticor],MS,CD,CC > TOX / FR / DMG / SC,Z > PUNC > REC,,,,
,,,,,,,,
[Orthos],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Orvius],CC,DMG,CD / ELEC(infl) / NONE / IC,SLIDE > FIN / EFF* > SL(infl),* -EFF not ideal for Heavy Attack spam,,,
,,,,,,,,
[Pandero],MS,CD,CC > FR / TOX / DMG / SC,Z / PFS*,* Vintage negative,,,
,,,,,,,,
[Pangolin Sword],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Panthera],MS,CD,CC > TOX / FR / DMG / SC,Z > REC,,,,
,,,,,,,,
[Paracesis],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Paracyst],MS,SC / FR,DMG / FR,Z > REC,* CC roll bad for use but sells,,,
,,,,,,,,
,MS,CD,CC* > TOX / FR / DMG / SC,,,,,
,,,,,,,,
[Paris],MS,CD,CC > TOX / FR / DMG / SC,PUNC > Z / MAG > REC > AMMO(inc),,,,
,,,,,,,,
,CC,SC,NONE,ANY,dog stick roll that sells well,,,
,,,,,,,,
[Pathocyst],CC,DMG,ELEC(infl) / CD / IC / NONE,IMP > PUNC > SLIDE > FIN / EFF / SL(infl),,,,
,,,,,,,,
[Pennant],CC,CD,DMG / AS,PUNC > SLIDE > FIN / EFF*,Bonus Attack Speed on Heavy Attack kills,,,
,,,,,,,,
,AS,RNG,CD > ELEC(infl),,* -EFF not ideal for Heavy Attack spam,,,
,,,,,,,,
[Penta],CC,DMG,CD,IMP > Z > REC,,,,
,,,,,,,,
,MS,CD,CC > TOX / FR / DMG / SC,,,,,
,,,,,,,,
,ANY,NONE,MAG,ANY,2+1-   +MAG may sell for visual gimmick,,,
,,,,,giving it a VERY long magazine,,,
[Perigale],MS,CC > CD,CD > FR / TOX / DMG / SC ,PUNC / Z > REC,,,,
,,,,,,,,
[Phaedra],MS,CD,CC > TOX / FR / DMG / SC,PUNC > Z > REC,,,,
,,,,,,,,
[Phage],MS,CD,CC / FR > DMG / SC / PT / TOX,REC,FR TOX CD / DMG +REC is best but doesnt sell well,,,
,,,,,,,,
,MS,FR,ELEC / HEAT / DMG,,,,,
,,,,,,,,
[Phantasma],MS,FR / DMG,ELEC / HEAT / DMG / SC,IMP > PUNC(0%) / SL(0%) > REC,* CC roll bad for use but sells well,,,
,,,,,,,,
,MS,CD,CC*,,,,,
,,,,,,,,
[Phenmor],MS,TOX / FR,DMG / FR,CC*,* -CC for Devastating Attrition incarnon perk,,,
,,,,,,,,
,MS,CD,CC > TOX / FR / DMG / SC,Z > REC,Good positives are more important than just -CC for slotting,,,
,,,,,,,,
[Plague Keewar],AS,RNG,CD > ELEC(infl),IMP > PUNC > SLIDE / FIN / EFF* / SL(infl),* -EFF not ideal for Heavy Attack spam,,,
,,,,,,,,
,CC,CD,DMG / AS / ELEC(infl),,[Exodia Contagion] rolls  |  -IMP/PUNC/SL equally bad for it,,,
,,,,,,,,
[Plague Kripath],AS,RNG,CD > ELEC(infl),PUNC > IMP > SLIDE / FIN / EFF*,* -EFF not ideal for Heavy Attack spam,,,
,,,,,,,,
,CC,CD,DMG / AS / ELEC(infl),,[Exodia Contagion] rolls  |  -IMP/PUNC/SL equally bad for it,,,
,,,,,,,,
[Plasma Sword],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF,,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Plinx],MS,CD,CC > FR / TOX / DMG / SC,IMP > Z / AMMO* > REC,* Infinite Ammo Battery,,,
,,,,,,,,
,CC,DMG,CD / MAG / FR / TOX,,,,,
,,,,,,,,
[Pox],MS,FR / DMG,SC / DMG / TOX,Z > REC,* CC roll bad for use but sells,,,
,,,,,,,,
,MS,CD,CC* / FR / TOX / DMG / SC,,,,,
,,,,,,,,
[Praedos],AS,RNG,CD > ELEC(infl),FIN / EFF / SLIDE / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Pride],AS,RNG,CD > ELEC(infl),PUNC > SLIDE / FIN / EFF* / SL(infl),* -EFF not ideal for Heavy Attack spam,,,
,,,,,,,,
,CC,CD,DMG,,,,,
,,,,,,,,
[Proboscis Cernos],MS,FR / DMG > CD,ELEC / HEAT / DMG / SC,IMP > Z / MAG > REC,* CC dead for use but sells,,,
,,,,,,,,
,MS,CD,CC*,,,,,
,,,,,,,,
[Prova],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF,,,,
,,,,,,,,
,CC,CD,DMG,,,,,
,,,,,,,,
[Pulmonars],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF,,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Pupacyst],AS,RNG,CD > ELEC(infl),IMP > PUNC(0%) / SL(0%) > SLIDE / FIN / EFF,,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Purgator 1],MS,CD,CC > TOX / FR / DMG / SC,IMP / PUNC > Z > REC,,,,
,,,,,,,,
[Pyrana],MS,CD,CC > FR / TOX / DMG / SC,Z > REC,,,,
,,,,,,,,
[Quanta],MS,CD,CC > FR / ELEC* / DMG / PT / SC,Z / PFS > REC,,,,
,,,,,,,,
,MS,ELEC*,FR / DMG / PT,,* Raw electric rolls,,,
,,,,,,,,
[Quartakk],MS,CD,CC > TOX  / FR / DMG / SC,IMP > Z > PUNC > REC,,,,
,,,,,,,,
[Quassus],AS,RNG,CD > ELEC(infl),SLIDE > FIN / EFF*,* -EFF not ideal for Heavy Attack spam,,,
,,,,,,,,
,CC,CD,DMG,,,,,
,,,,,,,,
[Quatz],MS,CD,CC* > FR / TOX / DMG / SC,IMP > Z / PFS > PUNC > REC,* CC roll bad for use but sells well,,,
,,,,,,,,
[Quellor],MS,CD,CC > TOX / FR / DMG / SC,IMP > PUNC > Z > REC,Alt-fire is usable for [Internal Bleeding] and has forced impact proc,,,
,,,,,"so -IMP is harmless for IB, but for general use it's less damage",,,
[Rabvee],AS,RNG,CD > ELEC(infl),IMP > PUNC,* -EFF not ideal for Heavy Attack spam,,,
,,,,,,,,
,CC,CD,DMG / AS / ELEC(infl),SLIDE / FIN / EFF*,[Exodia Contagion] rolls  |  -IMP/PUNC/SL equally bad for it,,,
,,,,,,,,
[Rauta],MS,CD,CC > FR / TOX / DMG / SC,REC > SL > DMG*,* -DMG only used for primer / combo builder rolls,,,
,,,,,,,,
,MAG,FR,RLS / SC / MS,,,,,
,,,,,,,,
[Rattleguts],MS,CD,CC > FR / TOX / DMG / SC,IMP / PUNC > Z > REC > AMMO*,* Infinite Ammo Battery with [Pax Charge],,,
,,,,,,,,
[Reaper Prime],AS,RNG,CD > ELEC(infl),SLIDE > FIN / EFF / SL(infl),,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Reconifex],MS,CC / CD,CC > TOX / HEAT* / FR / DMG / SC,IMP / Z > PUNC > REC,* Modded HEAT gets added to forced heat procs from reload gimmick,,,
,,,,,,,,
[Redeemer],CC,DMG,CD / IC,SLIDE > FIN / EFF* / SL(infl),* -EFF not ideal for Heavy Attack spam,,,
,,,,,,,,
,CD,AS,CC / ELEC(infl),,,,,
,,,,,,,,
[Riot-848],MS,CD,CC > FR / TOX / DMG / SC,PUNC* / Z > REC > AMMO**,* -PUNC removes most of the base damage but sells well,,,
,,,,,,,,
,,,,,** Infinite Ammo (projectiles return to magazine gimmick),,,
,,,,,,,,
[Ripkas],AS,RNG,CD > ELEC(infl),SLIDE / FIN / EFF / SL(infl)*,* -SL bad for arena endo farm,,,
,,,,,,,,
,CC,CD,DMG / AS,,,,,
,,,,,,,,
[Rubico],MS,CD,CC > DMG / FR > TOX / SC,Z / IMP > REC,,,,
,,,,,,,,
